Benchmark                                                Mode   Samples         Mean   Mean error    Units
c.g.a.r.FBSRTree.M10.createIndex1k                      thrpt        10   308009.938     1407.690    ops/s
c.g.a.r.FBSRTree.M10.createIndexGreek                   thrpt        10     7714.208      367.291    ops/s
c.g.a.r.FBSRTree.M10.deleteBatch1k                      thrpt        10      584.480        2.266    ops/s
c.g.a.r.FBSRTree.M10.deleteBatchGreek                   thrpt        10        4.052        0.008    ops/s
c.g.a.r.FBSRTree.M10.deleteOne1k                        thrpt        10   385107.130     1171.853    ops/s
c.g.a.r.FBSRTree.M10.deleteOneGreek                     thrpt        10   142451.703      561.039    ops/s
c.g.a.r.FBSRTree.M10.insertBatch1k                      thrpt        10      217.077        0.785    ops/s
c.g.a.r.FBSRTree.M10.insertBatchGreek                   thrpt        10        4.977        0.018    ops/s
c.g.a.r.FBSRTree.M10.insertOne1k                        thrpt        10   122800.193      496.249    ops/s
c.g.a.r.FBSRTree.M10.insertOneGreek                     thrpt        10    63992.498      232.009    ops/s
c.g.a.r.FBSRTree.M10.searchNearest1k                    thrpt        10   485102.973     1156.024    ops/s
c.g.a.r.FBSRTree.M10.searchNearestGreek                 thrpt        10     8809.738       68.847    ops/s
c.g.a.r.FBSRTree.M10.searchOne1k                        thrpt        10   256881.363      549.350    ops/s
c.g.a.r.FBSRTree.M10.searchOneBackpressure1k            thrpt        10    78020.403      150.076    ops/s
c.g.a.r.FBSRTree.M10.searchOneBackpressureGreek         thrpt        10    72409.802      203.148    ops/s
c.g.a.r.FBSRTree.M10.searchOneGreek                     thrpt        10   159870.093      446.311    ops/s
c.g.a.r.FBSRTree.M128.createIndex1k                     thrpt        10   351842.855     1440.563    ops/s
c.g.a.r.FBSRTree.M128.createIndexGreek                  thrpt        10     8967.600      293.431    ops/s
c.g.a.r.FBSRTree.M128.deleteBatch1k                     thrpt        10      149.587        0.514    ops/s
c.g.a.r.FBSRTree.M128.deleteBatchGreek                  thrpt        10        1.908        0.013    ops/s
c.g.a.r.FBSRTree.M128.deleteOne1k                       thrpt        10    75043.882      234.760    ops/s
c.g.a.r.FBSRTree.M128.deleteOneGreek                    thrpt        10    82821.750      265.690    ops/s
c.g.a.r.FBSRTree.M128.insertBatch1k                     thrpt        10       62.517        0.395    ops/s
c.g.a.r.FBSRTree.M128.insertBatchGreek                  thrpt        10        0.067        0.000    ops/s
c.g.a.r.FBSRTree.M128.insertOne1k                       thrpt        10    24621.307       41.255    ops/s
c.g.a.r.FBSRTree.M128.insertOneGreek                    thrpt        10      746.418        1.133    ops/s
c.g.a.r.FBSRTree.M128.searchNearest1k                   thrpt        10   127933.535      603.999    ops/s
c.g.a.r.FBSRTree.M128.searchNearestGreek                thrpt        10     8741.048       22.320    ops/s
c.g.a.r.FBSRTree.M128.searchOne1k                       thrpt        10   118588.108      225.943    ops/s
c.g.a.r.FBSRTree.M128.searchOneBackpressure1k           thrpt        10    33655.478      214.592    ops/s
c.g.a.r.FBSRTree.M128.searchOneBackpressureGreek        thrpt        10    42373.400      103.375    ops/s
c.g.a.r.FBSRTree.M128.searchOneGreek                    thrpt        10   132844.535      375.816    ops/s
c.g.a.r.FBSRTree.M32.createIndex1k                      thrpt        10   340824.825     1427.018    ops/s
c.g.a.r.FBSRTree.M32.createIndexGreek                   thrpt        10     8875.088      593.161    ops/s
c.g.a.r.FBSRTree.M32.deleteBatch1k                      thrpt        10      230.853        0.747    ops/s
c.g.a.r.FBSRTree.M32.deleteBatchGreek                   thrpt        10        2.185        0.022    ops/s
c.g.a.r.FBSRTree.M32.deleteOne1k                        thrpt        10   207667.843      715.750    ops/s
c.g.a.r.FBSRTree.M32.deleteOneGreek                     thrpt        10    50422.943      136.968    ops/s
c.g.a.r.FBSRTree.M32.insertBatch1k                      thrpt        10       45.637        0.129    ops/s
c.g.a.r.FBSRTree.M32.insertBatchGreek                   thrpt        10        1.083        0.000    ops/s
c.g.a.r.FBSRTree.M32.insertOne1k                        thrpt        10    13524.907       44.833    ops/s
c.g.a.r.FBSRTree.M32.insertOneGreek                     thrpt        10    15808.113       47.843    ops/s
c.g.a.r.FBSRTree.M32.searchNearest1k                    thrpt        10   317327.082      880.329    ops/s
c.g.a.r.FBSRTree.M32.searchNearestGreek                 thrpt        10     9578.373       23.222    ops/s
c.g.a.r.FBSRTree.M32.searchOne1k                        thrpt        10    97485.975      417.478    ops/s
c.g.a.r.FBSRTree.M32.searchOneBackpressure1k            thrpt        10    33237.600      152.531    ops/s
c.g.a.r.FBSRTree.M32.searchOneBackpressureGreek         thrpt        10    75889.310      214.524    ops/s
c.g.a.r.FBSRTree.M32.searchOneGreek                     thrpt        10   192822.212      332.840    ops/s
c.g.a.r.FBSRTree.M4.createIndex1k                       thrpt        10   246388.305     1176.349    ops/s
c.g.a.r.FBSRTree.M4.createIndexGreek                    thrpt        10     5669.410       19.090    ops/s
c.g.a.r.FBSRTree.M4.deleteBatch1k                       thrpt        10      718.547        1.948    ops/s
c.g.a.r.FBSRTree.M4.deleteBatchGreek                    thrpt        10        3.357        0.013    ops/s
c.g.a.r.FBSRTree.M4.deleteOne1k                         thrpt        10   550034.845     1973.387    ops/s
c.g.a.r.FBSRTree.M4.deleteOneGreek                      thrpt        10   108132.615      292.919    ops/s
c.g.a.r.FBSRTree.M4.insertBatch1k                       thrpt        10      398.543        1.479    ops/s
c.g.a.r.FBSRTree.M4.insertBatchGreek                    thrpt        10        7.842        0.057    ops/s
c.g.a.r.FBSRTree.M4.insertOne1k                         thrpt        10   165300.463      365.968    ops/s
c.g.a.r.FBSRTree.M4.insertOneGreek                      thrpt        10   104569.895      409.670    ops/s
c.g.a.r.FBSRTree.M4.searchNearest1k                     thrpt        10   529563.432     1064.740    ops/s
c.g.a.r.FBSRTree.M4.searchNearestGreek                  thrpt        10     8500.588       86.923    ops/s
c.g.a.r.FBSRTree.M4.searchOne1k                         thrpt        10   249839.162      648.138    ops/s
c.g.a.r.FBSRTree.M4.searchOneBackpressure1k             thrpt        10   148508.237      780.700    ops/s
c.g.a.r.FBSRTree.M4.searchOneBackpressureGreek          thrpt        10   132758.750      474.568    ops/s
c.g.a.r.FBSRTree.M4.searchOneGreek                      thrpt        10   291072.100      707.047    ops/s
c.g.a.r.RStarTree.M10.createIndex1k                     thrpt        10      366.038        0.944    ops/s
c.g.a.r.RStarTree.M10.createIndexGreek                  thrpt        10        7.227        0.021    ops/s
c.g.a.r.RStarTree.M10.deleteBatch1k                     thrpt        10      863.355        2.375    ops/s
c.g.a.r.RStarTree.M10.deleteBatchGreek                  thrpt        10       10.592        0.052    ops/s
c.g.a.r.RStarTree.M10.deleteOne1k                       thrpt        10  1078178.993     4596.369    ops/s
c.g.a.r.RStarTree.M10.deleteOneGreek                    thrpt        10   749688.912     5490.636    ops/s
c.g.a.r.RStarTree.M10.insertBatch1k                     thrpt        10      503.273        1.693    ops/s
c.g.a.r.RStarTree.M10.insertBatchGreek                  thrpt        10       10.088        0.043    ops/s
c.g.a.r.RStarTree.M10.insertOne1k                       thrpt        10   540386.917     1822.294    ops/s
c.g.a.r.RStarTree.M10.insertOneGreek                    thrpt        10   285919.633     1092.695    ops/s
c.g.a.r.RStarTree.M10.searchNearest1k                   thrpt        10  1564875.360     8915.455    ops/s
c.g.a.r.RStarTree.M10.searchNearestGreek                thrpt        10    15129.095       53.566    ops/s
c.g.a.r.RStarTree.M10.searchOne1k                       thrpt        10  1954728.558     4568.043    ops/s
c.g.a.r.RStarTree.M10.searchOneBackpressure1k           thrpt        10   272527.348     2296.102    ops/s
c.g.a.r.RStarTree.M10.searchOneBackpressureGreek        thrpt        10   182621.593     1686.114    ops/s
c.g.a.r.RStarTree.M10.searchOneGreek                    thrpt        10   960779.777     2091.742    ops/s
c.g.a.r.RStarTree.M128.createIndex1k                    thrpt        10      493.683        1.002    ops/s
c.g.a.r.RStarTree.M128.createIndexGreek                 thrpt        10        0.383        0.000    ops/s
c.g.a.r.RStarTree.M128.deleteBatch1k                    thrpt        10      597.308        2.886    ops/s
c.g.a.r.RStarTree.M128.deleteBatchGreek                 thrpt        10        1.202        0.008    ops/s
c.g.a.r.RStarTree.M128.deleteOne1k                      thrpt        10   609823.868     6826.192    ops/s
c.g.a.r.RStarTree.M128.deleteOneGreek                   thrpt        10   404741.225     2484.310    ops/s
c.g.a.r.RStarTree.M128.insertBatch1k                    thrpt        10      361.385        0.651    ops/s
