Benchmark                                                Mode   Samples         Mean   Mean error    Units
c.g.a.r.STRRTree.M128.searchOne1k                       thrpt        10  1372214.778     2888.207    ops/s
c.g.a.r.STRRTree.M128.searchOneBackpressure1k           thrpt        10   216787.932     5758.651    ops/s
c.g.a.r.STRRTree.M128.searchOneBackpressureGreek        thrpt        10    95522.667      860.443    ops/s
c.g.a.r.STRRTree.M128.searchOneGreek                    thrpt        10   369234.850      736.817    ops/s
c.g.a.r.STRRTree.M32.createIndex1k                      thrpt        10     5844.963       14.315    ops/s
c.g.a.r.STRRTree.M32.createIndexGreek                   thrpt        10      204.118        0.392    ops/s
c.g.a.r.STRRTree.M32.deleteBatch1k                      thrpt        10      399.133        1.221    ops/s
c.g.a.r.STRRTree.M32.deleteBatchGreek                   thrpt        10        7.558        0.021    ops/s
c.g.a.r.STRRTree.M32.deleteOne1k                        thrpt        10   890003.428     2872.864    ops/s
c.g.a.r.STRRTree.M32.deleteOneGreek                     thrpt        10   616642.460     8804.313    ops/s
c.g.a.r.STRRTree.M32.insertBatch1k                      thrpt        10      233.662        0.561    ops/s
c.g.a.r.STRRTree.M32.insertBatchGreek                   thrpt        10        4.217        0.000    ops/s
c.g.a.r.STRRTree.M32.insertOne1k                        thrpt        10   195669.460      250.455    ops/s
c.g.a.r.STRRTree.M32.insertOneGreek                     thrpt        10   177551.407      269.575    ops/s
c.g.a.r.STRRTree.M32.searchNearest1k                    thrpt        10  1469145.820     6294.429    ops/s
c.g.a.r.STRRTree.M32.searchNearestGreek                 thrpt        10    19454.048       63.555    ops/s
c.g.a.r.STRRTree.M32.searchOne1k                        thrpt        10  1771129.027     2748.072    ops/s
c.g.a.r.STRRTree.M32.searchOneBackpressure1k            thrpt        10   330752.713     2878.680    ops/s
c.g.a.r.STRRTree.M32.searchOneBackpressureGreek         thrpt        10   169619.347     2952.397    ops/s
c.g.a.r.STRRTree.M32.searchOneGreek                     thrpt        10   988762.777     1155.606    ops/s
c.g.a.r.STRRTree.M4.createIndex1k                       thrpt        10     5134.048        9.347    ops/s
c.g.a.r.STRRTree.M4.createIndexGreek                    thrpt        10      133.635        0.313    ops/s
c.g.a.r.STRRTree.M4.deleteBatch1k                       thrpt        10     1104.978        4.664    ops/s
c.g.a.r.STRRTree.M4.deleteBatchGreek                    thrpt        10       16.278        0.073    ops/s
c.g.a.r.STRRTree.M4.deleteOne1k                         thrpt        10   856160.808     5135.440    ops/s
c.g.a.r.STRRTree.M4.deleteOneGreek                      thrpt        10   564135.910     5984.121    ops/s
c.g.a.r.STRRTree.M4.insertBatch1k                       thrpt        10      858.657        8.775    ops/s
c.g.a.r.STRRTree.M4.insertBatchGreek                    thrpt        10       14.207        0.784    ops/s
c.g.a.r.STRRTree.M4.insertOne1k                         thrpt        10   883422.928    10142.458    ops/s
c.g.a.r.STRRTree.M4.insertOneGreek                      thrpt        10   508873.692     1892.846    ops/s
c.g.a.r.STRRTree.M4.searchNearest1k                     thrpt        10  2845954.310    20045.647    ops/s
c.g.a.r.STRRTree.M4.searchNearestGreek                  thrpt        10    15613.767       77.269    ops/s
c.g.a.r.STRRTree.M4.searchOne1k                         thrpt        10  2050764.158     3391.051    ops/s
c.g.a.r.STRRTree.M4.searchOneBackpressure1k             thrpt        10   322323.407     3120.811    ops/s
c.g.a.r.STRRTree.M4.searchOneBackpressureGreek          thrpt        10   180849.955     1645.862    ops/s
c.g.a.r.STRRTree.M4.searchOneGreek                      thrpt        10  1159670.750     2113.256    ops/s
